hh_id,value,fragile_level
9113653079,"[-14.773731231689453, 20.224693298339844]",2.0
2231144320,"[-73.65858459472656, -14.806788444519043]",1.0
874089316,"[-15.776046752929688, 55.6927604675293]",2.0
5625574614,"[30.537168502807617, -81.69789123535156]",2.0
5370600191,"[-33.998779296875, 64.85620880126953]",2.0
1320553242,"[36.91104507446289, 51.12979507446289]",2.0
1128120549,"[7.885901927947998, 90.6781997680664]",1.0
9566780335,"[40.62729263305664, -84.12491607666016]",2.0
4166390209,"[0.28379642963409424, 11.424043655395508]",1.0
4937336726,"[10.942887306213379, 24.028545379638672]",1.0
7495433077,"[-23.67371940612793, 86.342529296875]",2.0
1358668961,"[-23.973478317260742, 84.53662872314453]",1.0
5490655326,"[77.6185531616211, 24.583316802978516]",3.0
1408569098,"[70.23954010009766, 24.423912048339844]",2.0
6923677291,"[60.50410079956055, 25.277307510375977]",1.0
5045303489,"[-3.3121471405029297, 97.70455169677734]",2.0
9347766531,"[-15.54580307006836, 36.19536209106445]",2.0
8236968571,"[31.150104522705078, 51.783302307128906]",1.0
2594852360,"[6.479818820953369, -15.21445083618164]",2.0
6501019964,"[39.36762237548828, 23.630905151367188]",2.0
4127624270,"[-50.66181564331055, 66.72908020019531]",2.0
2860440863,"[-30.425107955932617, 55.98206329345703]",1.0
2865971353,"[19.3004207611084, 26.800636291503906]",2.0
4473431950,"[43.95387268066406, 34.91265869140625]",2.0
6190573337,"[31.576839447021484, 39.68100357055664]",2.0
5964772618,"[-34.579864501953125, -2.7013206481933594]",2.0
4688220591,"[55.11170959472656, 59.80940246582031]",1.0
1014901985,"[-2.8935227394104004, 73.62712097167969]",1.0
2801621131,"[-48.10334777832031, 57.82082748413086]",2.0
5280349793,"[-57.486297607421875, 36.60097122192383]",2.0
9242833974,"[50.40987014770508, 31.924970626831055]",2.0
7887273590,"[-22.473487854003906, 64.8178939819336]",2.0
5255378646,"[-42.70767593383789, -35.905391693115234]",2.0
3592549930,"[-4.503441333770752, -17.433866500854492]",1.0
1658808738,"[-25.576122283935547, 66.45198822021484]",2.0
7627768826,"[84.81063842773438, -8.582155227661133]",2.0
8290887055,"[4.440858840942383, 7.776873588562012]",1.0
6409266713,"[20.185558319091797, -88.04951477050781]",2.0
6716266501,"[39.79556655883789, 54.909297943115234]",1.0
2943719197,"[-23.283226013183594, 75.93843078613281]",1.0
3054361964,"[12.602232933044434, 99.69158935546875]",1.0
1086170883,"[34.84927749633789, 32.229461669921875]",2.0
5048163642,"[35.24925994873047, -44.4044075012207]",2.0
393770987,"[13.949043273925781, 80.00220489501953]",1.0
792224415,"[58.4882926940918, 19.87109375]",1.0
9265437275,"[18.550077438354492, -106.64730834960938]",1.0
9003172327,"[-17.089099884033203, 17.122325897216797]",2.0
1473979436,"[41.53071594238281, -90.72635650634766]",1.0
5921681793,"[-98.7984619140625, 24.179594039916992]",
8624434231,"[23.234128952026367, 92.35285186767578]",2.0
8830226460,"[34.46382522583008, 22.156564712524414]",1.0
8380098678,"[-15.944693565368652, 38.554500579833984]",2.0
6952246459,"[33.48338317871094, 60.671417236328125]",1.0
1229962887,"[2.6196506023406982, -31.46883201599121]",1.0
